cellid,exampleid,ingoing,circuit,stream,command,length,t_trace
42106,109,True,3773114191,10202,DATA(2),498,1472610598.170574
42107,109,True,3773114191,10202,DATA(2),498,1472610598.170591
42108,109,True,3773114191,10202,DATA(2),498,1472610598.170609
42109,109,True,3773114191,10202,DATA(2),498,1472610598.17491
42110,109,True,3773114191,10202,DATA(2),498,1472610598.174978
42111,109,True,3773114191,10202,DATA(2),498,1472610598.174998
42112,109,True,3773114191,10202,DATA(2),498,1472610598.175017
42113,109,True,3773114191,10202,DATA(2),498,1472610598.175034
42114,109,True,3773114191,10202,DATA(2),485,1472610598.175053
42115,109,True,3773114191,10202,DATA(2),498,1472610598.466147
42116,109,True,3773114191,10202,DATA(2),498,1472610598.53956
42117,109,True,3773114191,10202,DATA(2),498,1472610598.539643
42118,109,True,3773114191,10202,DATA(2),498,1472610598.539663
42119,109,True,3773114191,10202,DATA(2),498,1472610598.539682
42120,109,True,3773114191,10202,DATA(2),498,1472610598.539699
42121,109,True,3773114191,10202,DATA(2),498,1472610598.539717
42122,109,True,3773114191,10202,DATA(2),498,1472610598.539735
42123,109,True,3773114191,10202,DATA(2),498,1472610598.5453
42124,109,True,3773114191,10202,DATA(2),498,1472610598.545388
42125,109,True,3773114191,10202,DATA(2),498,1472610598.545426
42126,109,True,3773114191,10202,DATA(2),498,1472610598.54546
42127,109,True,3773114191,10202,DATA(2),498,1472610598.545482
42128,109,True,3773114191,10202,DATA(2),498,1472610598.5455
42129,109,True,3773114191,10202,DATA(2),498,1472610598.545518
42130,109,True,3773114191,10202,DATA(2),498,1472610598.615757
42131,109,True,3773114191,10202,DATA(2),498,1472610598.62436
42132,109,True,3773114191,10202,DATA(2),498,1472610598.624399
42133,109,True,3773114191,10202,DATA(2),498,1472610598.62442
42134,109,True,3773114191,10202,DATA(2),498,1472610598.624438
42135,109,True,3773114191,10202,DATA(2),498,1472610598.624456
42136,109,True,3773114191,10202,DATA(2),498,1472610598.624473
42137,109,False,3773114191,10202,SENDME(5),0,1472610598.624486
42138,109,True,3773114191,10202,DATA(2),498,1472610598.624521
42139,109,True,3773114191,10202,DATA(2),498,1472610598.693016
42140,109,True,3773114191,10202,DATA(2),498,1472610598.703592
42141,109,True,3773114191,10202,DATA(2),498,1472610598.703678
42142,109,True,3773114191,10202,DATA(2),498,1472610598.703699
42143,109,True,3773114191,10202,DATA(2),498,1472610598.703725
42144,109,True,3773114191,10202,DATA(2),498,1472610598.703743
42145,109,True,3773114191,10202,DATA(2),498,1472610598.703762
